Id_emp,Name,Last_name,birth_date,gender,area,salary,email,type
41-2225304,Ezekiel,A'Barrow,1999-02-18,male,"Business Development",80709,Ezekiel_A'.R@example.com,REMOTE
01-0027092,Jock,Aarons,1988-12-23,female,Engineering,173688,Jock_Aa.R@example.com,REMOTE
82-2860536,Ferrel,Aartsen,1995-07-13,female,Accounting,117511,Ferrel_Aa.H@example.com,HYBRID
18-0367857,Marge,Abate,1973-03-25,female,Engineering,112662,Marge_Ab.H@example.com,HYBRID
35-4558116,Lisa,Abatelli,1980-03-19,female,Accounting,116635,Lisa_Ab.H@example.com,HYBRID
76-7456746,Ado,Abatelli,1975-10-27,male,Accounting,84683,Ado_Ab.H@example.com,HYBRID
76-2607804,Stoddard,Abatelli,1975-07-29,female,"Human Resources",107894,Stoddard_Ab.R@example.com,REMOTE
02-7423004,Sharleen,Abba,1994-02-04,female,Engineering,173241,Sharleen_Ab.H@example.com,HYBRID
52-1535671,Annabel,Abbado,2001-10-04,male,"Human Resources",114137,Annabel_Ab.H@example.com,HYBRID
65-9379141,Sandy,Abbey,1995-08-07,female,"Business Development",89591,Sandy_Ab.R@example.com,REMOTE
46-6951486,Tim,Abbie,1999-09-07,female,"Business Development",94796,Tim_Ab.H@example.com,HYBRID
03-5122131,Gladi,Abbot,1974-12-03,male,Accounting,149717,Gladi_Ab.R@example.com,REMOTE
05-2710257,Laurence,Abbot,2002-07-09,female,Engineering,137187,Laurence_Ab.H@example.com,HYBRID
05-6984388,Vittoria,Abbots,1972-10-28,male,Engineering,138509,Vittoria_Ab.H@example.com,HYBRID
21-0225498,Shellysheldon,Abbott,2002-03-02,female,Accounting,78880,Shellysheldon_Ab.R@example.com,REMOTE
30-8756028,Weider,Abby,1995-07-24,female,"Human Resources",181803,Weider_Ab.R@example.com,REMOTE
52-9799598,Leticia,Abbys,1997-01-31,male,Engineering,175563,Leticia_Ab.R@example.com,REMOTE
40-4809866,Wayland,Abeau,1978-09-04,male,Engineering,179529,Wayland_Ab.R@example.com,REMOTE
09-6007498,Daryl,Abeau,1975-08-09,female,"Human Resources",157066,Daryl_Ab.H@example.com,HYBRID
37-6038275,Lucienne,Abela,1992-06-26,female,Support,80599,Lucienne_Ab.R@example.com,REMOTE
44-7890623,Hope,Abeles,1978-01-25,female,Engineering,116571,Hope_Ab.H@example.com,HYBRID
59-6588155,Waldo,Abelov,1975-07-17,male,"Product Management",77546,Waldo_Ab.H@example.com,HYBRID
03-6259593,Sophey,Abelson,1978-06-21,male,"Research and Development",158580,Sophey_Ab.R@example.com,REMOTE
54-4029541,Domingo,Abendroth,1982-01-29,female,"Product Management",73828,Domingo_Ab.H@example.com,HYBRID
77-6125082,Goraud,Aberchirder,1995-11-15,female,Training,151781,Goraud_Ab.R@example.com,REMOTE
61-6204991,Esma,Aberdalgy,1986-11-01,female,Engineering,176250,Esma_Ab.H@example.com,HYBRID
29-0125171,Hildegaard,Aberdein,2000-08-25,male,Sales,105387,Hildegaard_Ab.R@example.com,REMOTE
17-7474380,Wren,Aberhart,1983-09-23,male,Accounting,183083,Wren_Ab.R@example.com,REMOTE
61-6008733,Meade,Aberhart,1970-07-27,female,"Business Development",75134,Meade_Ab.H@example.com,HYBRID
81-4119257,Issi,Abernethy,1974-08-20,male,"Human Resources",82631,Issi_Ab.R@example.com,REMOTE
25-6983034,Donelle,Ableson,1974-02-08,male,Engineering,131108,Donelle_Ab.H@example.com,HYBRID
67-8358027,Uri,Ableson,1974-03-28,male,Legal,143576,Uri_Ab.R@example.com,REMOTE
52-9368890,Joe,Ablett,1966-01-23,male,Engineering,172940,Joe_Ab.R@example.com,REMOTE
18-0527111,Gonzalo,Ablewhite,1969-04-28,male,"Research and Development",137336,Gonzalo_Ab.R@example.com,REMOTE
45-2863542,Rona,Abraham,1977-03-02,male,"Human Resources",81414,Rona_Ab.R@example.com,REMOTE
92-5424745,Hatty,Abrahamoff,1998-04-27,female,"Business Development",147532,Hatty_Ab.H@example.com,HYBRID
64-3262243,Winona,Abrahams,1988-12-26,male,Engineering,158332,Winona_Ab.H@example.com,HYBRID
06-5977037,Blinnie,Abrahams,1990-02-17,female,Services,157373,Blinnie_Ab.H@example.com,HYBRID
75-8614130,Idaline,Abrahamsen,1990-04-27,female,"Product Management",150699,Idaline_Ab.H@example.com,HYBRID
08-4616674,Alfie,Abrahamsen,1987-12-10,male,Training,76853,Alfie_Ab.R@example.com,REMOTE
51-3450987,Ansley,Abrahamson,1967-08-10,male,Sales,86649,Ansley_Ab.H@example.com,HYBRID
49-2733170,Kristy,Abrahart,1992-10-27,female,Legal,124846,Kristy_Ab.H@example.com,HYBRID
53-6207470,Tonye,Abrahim,1974-03-04,male,Engineering,168551,Tonye_Ab.H@example.com,HYBRID
74-6871846,Rea,Abrahmer,1974-06-11,male,Engineering,113359,Rea_Ab.R@example.com,REMOTE
29-2858175,Madalena,Abramcik,2001-04-03,female,Engineering,101979,Madalena_Ab.H@example.com,HYBRID
33-2788786,Oneida,Abramov,1970-11-28,male,Accounting,116659,Oneida_Ab.H@example.com,HYBRID
38-1101129,Rozelle,Abramov,1976-09-04,male,Accounting,166625,Rozelle_Ab.R@example.com,REMOTE
26-9690769,Flem,Abramovic,1981-05-18,female,Accounting,141541,Flem_Ab.H@example.com,HYBRID
52-5724869,Grover,Abramovicz,1976-03-14,male,Training,132274,Grover_Ab.H@example.com,HYBRID
13-5608210,Hort,Abramovicz,1972-06-10,male,Training,147949,Hort_Ab.R@example.com,REMOTE
05-2746611,Maryanne,Abramowsky,1967-07-07,female,Services,160655,Maryanne_Ab.R@example.com,REMOTE
80-4616749,Kristin,Abrams,1978-02-22,male,Training,125388,Kristin_Ab.R@example.com,REMOTE
35-3598428,Taite,Abramsky,1984-06-03,male,"Human Resources",180133,Taite_Ab.H@example.com,HYBRID
35-4637858,Norah,Abramsky,1993-06-08,female,"Product Management",169527,Norah_Ab.R@example.com,REMOTE
21-1612620,Helenelizabeth,Abrashkin,1987-03-16,male,Accounting,159062,Helenelizabeth_Ab.R@example.com,REMOTE
35-0869511,Bronson,Abrehart,1970-09-30,male,Services,135184,Bronson_Ab.H@example.com,HYBRID
63-7573792,Maiga,Abriani,2002-06-04,female,Sales,146273,Maiga_Ab.H@example.com,HYBRID
48-7352959,Rani,Abry,1975-05-04,male,Engineering,159585,Rani_Ab.R@example.com,REMOTE
62-1126370,Herta,Absolem,1984-04-15,female,Engineering,119383,Herta_Ab.R@example.com,REMOTE
43-0856248,Marya,Absolom,1972-05-17,male,"Human Resources",75910,Marya_Ab.H@example.com,HYBRID
39-5692742,Othilie,Absolon,1973-08-16,male,Support,149448,Othilie_Ab.H@example.com,HYBRID
43-6759648,Sheppard,Abyss,1975-08-10,male,Services,111311,Sheppard_Ab.H@example.com,HYBRID
74-4447730,Mickie,Accomb,1991-11-24,female,Engineering,107507,Mickie_Ac.R@example.com,REMOTE
21-0630754,Demetrius,Accomb,1981-08-22,female,"Product Management",71517,Demetrius_Ac.R@example.com,REMOTE
10-4556543,Kalvin,Accomb,1969-03-30,male,"Research and Development",106394,Kalvin_Ac.R@example.com,REMOTE
92-6606306,Winna,Ace,1998-01-06,male,Sales,115594,Winna_Ac.R@example.com,REMOTE
73-5299234,Krystal,Ackenhead,1989-07-10,male,Marketing,129627,Krystal_Ac.H@example.com,HYBRID
68-8643264,Gwyneth,Ackland,1968-03-13,female,Engineering,161883,Gwyneth_Ac.R@example.com,REMOTE
97-5139818,Briant,Acklands,1998-11-06,male,Training,156586,Briant_Ac.H@example.com,HYBRID
97-1768799,Traci,Ackroyd,1975-04-25,female,"Business Development",121844,Traci_Ac.H@example.com,HYBRID
30-2796116,Thaine,Ackroyd,1984-09-20,male,Training,117557,Thaine_Ac.R@example.com,REMOTE
58-2607179,Leonard,Acomb,1991-07-25,male,Engineering,131862,Leonard_Ac.R@example.com,REMOTE
73-8165266,Gusella,Acomb,2002-01-13,female,Services,122715,Gusella_Ac.R@example.com,REMOTE
11-9842435,Grace,Acory,1992-12-02,male,Services,168379,Grace_Ac.R@example.com,REMOTE
20-0208692,Daisie,Acres,1995-06-10,male,Engineering,66837,Daisie_Ac.H@example.com,HYBRID
87-8891385,Bari,Acres,1978-03-08,male,Engineering,88887,Bari_Ac.R@example.com,REMOTE
52-9246071,Felipe,Acton,1975-01-19,female,Engineering,161746,Felipe_Ac.H@example.com,HYBRID
27-3927804,Jordan,Acuna,1978-06-24,male,"Business Development",129067,Jordan_Ac.R@example.com,REMOTE
04-1746693,Gail,Adacot,1983-08-19,female,"Human Resources",128757,Gail_Ad.H@example.com,HYBRID
62-3588586,Jammie,Adam,1971-11-29,male,"Product Management",166866,Jammie_Ad.H@example.com,HYBRID
13-6613437,Bink,Adamczewski,1983-12-10,male,Training,122230,Bink_Ad.H@example.com,HYBRID
83-5883069,Ruth,Adamczyk,1968-09-29,female,Engineering,117198,Ruth_Ad.H@example.com,HYBRID
07-4454121,Kary,Adamec,1988-03-09,male,Engineering,158518,Kary_Ad.R@example.com,REMOTE
41-7636376,Egor,Adamini,1990-12-07,female,Accounting,66918,Egor_Ad.R@example.com,REMOTE
23-7480842,Abagael,Adamkiewicz,1986-05-06,female,Services,79470,Abagael_Ad.R@example.com,REMOTE
91-7858723,Roley,Adamkiewicz,1966-09-27,male,Training,71319,Roley_Ad.H@example.com,HYBRID
36-3267264,Ethyl,Adamoli,1980-10-22,male,Accounting,135278,Ethyl_Ad.R@example.com,REMOTE
60-8206259,Germana,Adamov,1973-05-21,male,Sales,170073,Germana_Ad.H@example.com,HYBRID
22-0576170,Zack,Adamovich,1995-08-10,female,Training,114278,Zack_Ad.R@example.com,REMOTE
46-7728311,Allie,Adamovitch,1998-03-01,female,Engineering,85282,Allie_Ad.H@example.com,HYBRID
